,Date,Symbol,Direction,Shares
0,2018-01-12,DIS,SELL,1000
1,2018-01-23,DIS,BUY,1000
2,2018-01-26,DIS,SELL,1000
3,2018-01-30,DIS,BUY,1000
4,2018-02-01,DIS,SELL,1000
5,2018-02-05,DIS,BUY,1000
6,2018-02-16,DIS,SELL,1000
7,2018-02-27,DIS,BUY,1000
8,2018-03-09,DIS,SELL,1000
9,2018-03-15,DIS,BUY,1000
10,2018-04-04,DIS,SELL,1000
11,2018-04-20,DIS,BUY,1000
12,2018-04-25,DIS,SELL,1000
13,2018-04-27,DIS,BUY,1000
14,2018-05-07,DIS,SELL,1000
15,2018-05-24,DIS,BUY,1000
16,2018-06-07,DIS,SELL,1000
17,2018-06-25,DIS,BUY,1000
18,2018-07-05,DIS,SELL,1000
19,2018-08-10,DIS,BUY,1000
20,2018-08-28,DIS,SELL,1000
21,2018-08-30,DIS,BUY,1000
22,2018-08-31,DIS,SELL,1000
23,2018-09-04,DIS,BUY,1000
24,2018-09-20,DIS,SELL,1000
25,2018-10-05,DIS,BUY,1000
26,2018-10-16,DIS,SELL,1000
27,2018-10-24,DIS,BUY,1000
28,2018-11-02,DIS,SELL,1000
29,2018-11-19,DIS,BUY,1000
30,2018-11-29,DIS,SELL,1000
31,2018-12-07,DIS,BUY,1000
32,2018-12-14,DIS,SELL,1000
33,2018-12-17,DIS,BUY,1000
34,2018-12-31,DIS,SELL,1000
35,2019-01-22,DIS,BUY,1000
36,2019-01-31,DIS,SELL,1000
37,2019-02-11,DIS,BUY,1000
38,2019-02-15,DIS,SELL,1000
39,2019-03-18,DIS,BUY,1000
40,2019-03-28,DIS,SELL,1000
41,2019-05-07,DIS,BUY,1000
42,2019-05-16,DIS,SELL,1000
43,2019-05-23,DIS,BUY,1000
44,2019-06-04,DIS,SELL,1000
45,2019-06-24,DIS,BUY,1000
46,2019-06-27,DIS,SELL,1000
47,2019-07-19,DIS,BUY,1000
48,2019-07-26,DIS,SELL,1000
49,2019-08-05,DIS,BUY,1000
50,2019-08-16,DIS,SELL,1000
51,2019-08-23,DIS,BUY,1000
52,2019-08-26,DIS,SELL,1000
53,2019-09-10,DIS,BUY,1000
54,2019-09-12,DIS,SELL,1000
55,2019-09-19,DIS,BUY,1000
56,2019-10-11,DIS,SELL,1000
57,2019-10-29,DIS,BUY,1000
58,2019-11-01,DIS,SELL,1000
59,2019-12-04,DIS,BUY,1000
60,2019-12-16,DIS,SELL,1000
61,2019-12-23,DIS,BUY,1000
